2,2,2,2,2,2,2,2,2,2,2
2,0,0,0,0,2,2,0,0,0,2
2,0,0,0,0,0,0,0,0,0,2
2,0,0,1,0,0,0,0,0,0,2
2,1,1,2,1,1,1,1,0,0,2
2,2,2,2,2,2,2,2,0,0,2
2,2,2,2,2,2,2,2,0,0,2
2,0,0,2,0,0,0,0,0,0,2
2,0,0,2,0,0,0,0,0,0,2
2,0,0,0,0,0,1,0,0,0,2
2,0,0,0,0,105,2,1,105,0,2
2,0,0,1,1,1,2,2,1,1,2
2,0,0,2,2,2,2,2,2,2,2
2,0,0,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,0,104,2
2,1,1,1,1,1,1,1,0,0,2
2,2,2,2,2,2,2,2,0,0,2
2,0,0,2,0,0,0,2,0,0,2
2,0,0,2,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,0,0,2
2,108,0,0,106,0,1,0,0,106,2
2,1,1,1,1,1,2,1,1,1,2
